Player key,Age,Age when joined,Appearances,Assists,Assists p90,Competition,Foot,Games started,Goals,Goals p90,Height,In squad,Market value,Minutes played,PPG,Position group,Red cards,Second yellow cards,Shirt number,Substitutions off,Substitutions on,Years in team,Yellow cards,Yellow cards p90,Market value (prediction)
Jason Steele (13/14),22.0,17.87031903461399,16.0,1.0,0.06517016654598118,"Championship, FA Cup, League Cup",right,16.0,0.0,0.0,188.0,29.0,0.75,1381.0,1.13,G,1.0,0.0,1.0,1.0,0.0,5.99875425231182,0.0,0.0,0.3446723940263883
Jay O'Shea (09/10),20.0,21.55554186602052,3.0,0.0,0.0,"Championship, FA Cup, League Cup",right,2.0,0.0,0.0,183.0,5.0,,95.0,2.0,M,0.0,0.0,0.0,1.0,1.0,0.3340246548525979,0.0,0.0,1.3055392366598764
Jay O'Shea (10/11),20.0,,3.0,0.0,0.0,Championship,,2.0,0.0,0.0,,5.0,,95.0,2.0,M,0.0,0.0,0.0,1.0,1.0,,0.0,0.0,0.5730863675085489
Jayson Leutwiler (12/13),23.0,23.269471652395325,1.0,0.0,0.0,"Championship, FA Cup, League Cup",right,1.0,0.0,0.0,192.0,48.0,0.038,90.0,3.0,G,0.0,0.0,0.0,0.0,0.0,0.9144609403341616,1.0,1.0,-0.09494759430769009
Jayson Leutwiler (13/14),24.0,23.269471652395325,6.0,0.0,0.0,"Championship, FA Cup, League Cup",right,4.0,0.0,0.0,192.0,16.0,0.038,238.0,1.1083333333333334,G,0.0,0.0,32.0,0.0,2.0,1.913796997884967,0.0,0.0,0.4777865157220833
Jelle Vossen (14/15),25.0,25.44610772295119,55.0,3.0,0.12605042016806722,"Championship, Championship Playoffs, FA Cup, League Cup",right,40.0,9.0,0.37815126050420167,180.0,44.0,3.75,2142.0,2.027636363636364,F,0.0,0.0,21.0,22.0,15.0,0.8295858231175178,5.0,0.21008403361344538,3.755342076984826
Joe Bennett (09/10),19.0,18.261839736613346,16.0,0.0,0.0,"Championship, FA Cup, League Cup",left,13.0,0.0,0.0,177.0,30.0,0.056,828.0,1.3825,D,0.0,0.0,0.0,4.0,3.0,1.9986721151016105,2.0,0.21739130434782608,0.5859292199261606
Joe Bennett (10/11),20.0,18.261839736613346,16.0,0.0,0.0,"Championship, FA Cup, League Cup",left,14.0,0.0,0.0,177.0,31.0,0.075,994.0,1.57,D,0.0,0.0,0.0,4.0,2.0,2.998008172652416,2.0,0.18108651911468812,0.6347725832535411
Joe Bennett (11/12),21.0,18.261839736613346,46.0,4.0,0.09093205354887599,"Championship, FA Cup, League Cup",left,45.0,1.0,0.022733013387218996,177.0,47.0,0.188,3959.0,1.6199999999999999,D,0.0,1.0,0.0,2.0,1.0,4.000082137210209,10.0,0.22733013387218995,0.9634235581928163
Joe Bennett (12/13),22.0,18.261839736613346,0.0,0.0,0.0,"Championship, FA Cup, League Cup",left,0.0,0.0,0.0,177.0,0.0,0.938,0.0,0.0,D,0.0,0.0,0.0,0.0,0.0,4.999418194761015,0.0,0.0,0.6537361805699997
